41.1927 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
41.9165 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x130b00f60>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x131828e48>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([2560, 1600]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
41.9166 	EXP 	window1: recordFrameIntervals = False
42.0839 	EXP 	window1: recordFrameIntervals = True
42.3675 	EXP 	window1: recordFrameIntervals = False
42.9266 	EXP 	Created text_welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_welcome', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
42.9497 	EXP 	Created image_trial = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
42.9862 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
43.0027 	EXP 	text_welcome: autoDraw = True
70.7896 	EXP 	Created sequence: random, trialTypes=1, nReps=10000, seed=None
70.8436 	EXP 	New trial (rep=0, index=0): None
70.9778 	DATA 	Keypress: space
71.0060 	EXP 	text_welcome: autoDraw = False
71.0060 	EXP 	image_trial: image = 'imgs/1.jpg'
71.0060 	EXP 	image_trial: autoDraw = True
72.4552 	EXP 	New trial (rep=1, index=0): None
72.4983 	DATA 	Keypress: left
72.5230 	EXP 	image_trial: autoDraw = False
72.5230 	EXP 	image_trial: image = 'imgs/3.jpg'
72.5230 	EXP 	image_trial: autoDraw = True
73.2715 	EXP 	New trial (rep=2, index=0): None
73.6806 	DATA 	Keypress: left
73.7140 	EXP 	image_trial: autoDraw = False
73.7140 	EXP 	image_trial: image = 'imgs/2.jpg'
73.7140 	EXP 	image_trial: autoDraw = True
74.4057 	EXP 	New trial (rep=3, index=0): None
74.4776 	DATA 	Keypress: left
74.4932 	EXP 	image_trial: autoDraw = False
74.4932 	EXP 	image_trial: image = 'imgs/1.jpg'
74.4932 	EXP 	image_trial: autoDraw = True
75.2064 	EXP 	New trial (rep=4, index=0): None
75.2472 	DATA 	Keypress: left
75.2617 	EXP 	image_trial: autoDraw = False
75.2617 	EXP 	image_trial: image = 'imgs/3.jpg'
75.2617 	EXP 	image_trial: autoDraw = True
75.9396 	EXP 	New trial (rep=5, index=0): None
75.9936 	DATA 	Keypress: right
76.0088 	EXP 	image_trial: autoDraw = False
76.0088 	EXP 	image_trial: image = 'imgs/1.jpg'
76.0088 	EXP 	image_trial: autoDraw = True
76.5740 	EXP 	New trial (rep=6, index=0): None
76.9664 	DATA 	Keypress: right
76.9917 	EXP 	image_trial: autoDraw = False
76.9917 	EXP 	image_trial: image = 'imgs/2.jpg'
76.9917 	EXP 	image_trial: autoDraw = True
77.5566 	EXP 	New trial (rep=7, index=0): None
77.6067 	DATA 	Keypress: right
77.6248 	EXP 	image_trial: autoDraw = False
77.6248 	EXP 	image_trial: image = 'imgs/3.jpg'
77.6248 	EXP 	image_trial: autoDraw = True
78.3080 	EXP 	New trial (rep=8, index=0): None
78.3599 	DATA 	Keypress: right
78.3760 	EXP 	image_trial: autoDraw = False
78.3760 	EXP 	image_trial: image = 'imgs/1.jpg'
78.3760 	EXP 	image_trial: autoDraw = True
79.0591 	EXP 	New trial (rep=9, index=0): None
79.4561 	DATA 	Keypress: right
79.4783 	EXP 	image_trial: autoDraw = False
79.4783 	EXP 	image_trial: image = 'imgs/2.jpg'
79.4783 	EXP 	image_trial: autoDraw = True
81.3573 	DATA 	Keypress: right
81.3775 	EXP 	image_trial: autoDraw = False
81.3775 	EXP 	text: autoDraw = True
82.3773 	EXP 	text: autoDraw = False
82.3773 	EXP 	text: autoDraw = False
82.6655 	EXP 	window1: mouseVisible = True
