5.3081 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
5.9540 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1304dfef0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x131128dd8>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([2560, 1600]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9540 	EXP 	window1: recordFrameIntervals = False
6.1209 	EXP 	window1: recordFrameIntervals = True
6.3048 	EXP 	window1: recordFrameIntervals = False
6.5834 	EXP 	Created text_welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_welcome', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
6.6068 	EXP 	Created image_trial = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
6.6558 	EXP 	Created text_end = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_end', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
6.7062 	EXP 	text_welcome: autoDraw = True
8.0781 	EXP 	Created sequence: random, trialTypes=1, nReps=10000, seed=None
8.1345 	EXP 	New trial (rep=0, index=0): None
8.2396 	DATA 	Keypress: space
8.2579 	EXP 	text_welcome: autoDraw = False
8.2579 	EXP 	image_trial: image = 'imgs/1.jpg'
8.2579 	EXP 	image_trial: autoDraw = True
9.1611 	EXP 	New trial (rep=1, index=0): None
9.5780 	DATA 	Keypress: right
9.6133 	EXP 	image_trial: autoDraw = False
9.6133 	EXP 	image_trial: image = 'imgs/2.jpg'
9.6133 	EXP 	image_trial: autoDraw = True
10.5113 	EXP 	New trial (rep=2, index=0): None
10.5693 	DATA 	Keypress: right
10.5900 	EXP 	image_trial: autoDraw = False
10.5900 	EXP 	image_trial: image = 'imgs/3.jpg'
10.5900 	EXP 	image_trial: autoDraw = True
11.3456 	EXP 	New trial (rep=3, index=0): None
11.4003 	DATA 	Keypress: right
11.4230 	EXP 	image_trial: autoDraw = False
11.4230 	EXP 	image_trial: image = 'imgs/1.jpg'
11.4230 	EXP 	image_trial: autoDraw = True
12.2323 	EXP 	New trial (rep=4, index=0): None
12.6323 	DATA 	Keypress: right
12.6566 	EXP 	image_trial: autoDraw = False
12.6566 	EXP 	image_trial: image = 'imgs/2.jpg'
12.6566 	EXP 	image_trial: autoDraw = True
13.2210 	EXP 	New trial (rep=5, index=0): None
13.2734 	DATA 	Keypress: right
13.2906 	EXP 	image_trial: autoDraw = False
13.2906 	EXP 	image_trial: image = 'imgs/3.jpg'
