7.5611 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
8.2330 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131b8ccf8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x131a1cbe0>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([2560, 1600]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.2331 	EXP 	window1: recordFrameIntervals = False
8.3993 	EXP 	window1: recordFrameIntervals = True
8.5834 	EXP 	window1: recordFrameIntervals = False
9.1036 	EXP 	Created text_welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_welcome', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
9.1278 	EXP 	Created image_trial = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
9.1668 	EXP 	text_welcome: autoDraw = True
11.7854 	EXP 	Created sequence: random, trialTypes=1, nReps=10000, seed=None
11.8411 	EXP 	New trial (rep=0, index=0): None
11.9715 	DATA 	Keypress: space
11.9901 	EXP 	text_welcome: autoDraw = False
11.9901 	EXP 	image_trial: image = 'imgs/1.jpg'
11.9901 	EXP 	image_trial: autoDraw = True
13.1549 	EXP 	New trial (rep=1, index=0): None
13.5750 	DATA 	Keypress: right
13.6109 	EXP 	image_trial: autoDraw = False
13.6109 	EXP 	image_trial: image = 'imgs/2.jpg'
13.6109 	EXP 	image_trial: autoDraw = True
14.2083 	EXP 	New trial (rep=2, index=0): None
14.2657 	DATA 	Keypress: right
14.2855 	EXP 	image_trial: autoDraw = False
14.2855 	EXP 	image_trial: image = 'imgs/3.jpg'
14.2855 	EXP 	image_trial: autoDraw = True
14.8729 	EXP 	New trial (rep=3, index=0): None
14.9263 	DATA 	Keypress: right
14.9423 	EXP 	image_trial: autoDraw = False
14.9423 	EXP 	image_trial: image = 'imgs/1.jpg'
14.9423 	EXP 	image_trial: autoDraw = True
15.4967 	EXP 	New trial (rep=4, index=0): None
15.9055 	DATA 	Keypress: right
15.9074 	DATA 	Keypress: right
15.9312 	EXP 	image_trial: autoDraw = False
15.9312 	EXP 	image_trial: image = 'imgs/2.jpg'
15.9312 	EXP 	image_trial: autoDraw = True
16.8087 	EXP 	New trial (rep=5, index=0): None
16.8623 	DATA 	Keypress: right
16.8857 	EXP 	image_trial: autoDraw = False
16.8857 	EXP 	image_trial: image = 'imgs/3.jpg'
16.8857 	EXP 	image_trial: autoDraw = True
17.4571 	EXP 	New trial (rep=6, index=0): None
17.5112 	DATA 	Keypress: right
17.5377 	EXP 	image_trial: autoDraw = False
17.5377 	EXP 	image_trial: image = 'imgs/1.jpg'
17.5377 	EXP 	image_trial: autoDraw = True
18.0635 	EXP 	New trial (rep=7, index=0): None
18.4786 	DATA 	Keypress: right
18.5043 	EXP 	image_trial: autoDraw = False
18.5043 	EXP 	image_trial: image = 'imgs/2.jpg'
18.5043 	EXP 	image_trial: autoDraw = True
18.8390 	DATA 	Keypress: left
19.0829 	EXP 	New trial (rep=8, index=0): None
19.1707 	EXP 	image_trial: autoDraw = False
19.1707 	EXP 	image_trial: image = 'imgs/1.jpg'
19.1707 	EXP 	image_trial: autoDraw = True
20.0166 	EXP 	New trial (rep=9, index=0): None
20.0592 	DATA 	Keypress: left
20.0741 	EXP 	image_trial: autoDraw = False
