22.6724 	EXP 	image_trial: autoDraw = False
22.6724 	EXP 	image_trial: image = 'imgs/1.jpg'
22.6724 	EXP 	image_trial: autoDraw = True
23.0517 	EXP 	New trial (rep=19, index=0): None
23.4808 	DATA 	Keypress: right
23.4848 	DATA 	Keypress: right
23.4886 	DATA 	Keypress: right
23.5122 	EXP 	image_trial: autoDraw = False
23.5122 	EXP 	image_trial: image = 'imgs/2.jpg'
23.5122 	EXP 	image_trial: autoDraw = True
23.8369 	EXP 	New trial (rep=20, index=0): None
23.8916 	DATA 	Keypress: right
23.9067 	EXP 	image_trial: autoDraw = False
23.9067 	EXP 	image_trial: image = 'imgs/3.jpg'
23.9067 	EXP 	image_trial: autoDraw = True
24.3176 	EXP 	New trial (rep=21, index=0): None
24.3732 	DATA 	Keypress: right
24.3765 	DATA 	Keypress: right
24.3928 	EXP 	image_trial: autoDraw = False
24.3928 	EXP 	image_trial: image = 'imgs/1.jpg'
24.3928 	EXP 	image_trial: autoDraw = True
24.8072 	EXP 	New trial (rep=22, index=0): None
25.2258 	DATA 	Keypress: right
25.2296 	DATA 	Keypress: right
25.2543 	EXP 	image_trial: autoDraw = False
25.2543 	EXP 	image_trial: image = 'imgs/2.jpg'
25.2543 	EXP 	image_trial: autoDraw = True
25.5061 	EXP 	New trial (rep=23, index=0): None
25.5623 	DATA 	Keypress: right
25.5655 	DATA 	Keypress: right
25.5911 	EXP 	image_trial: autoDraw = False
25.5911 	EXP 	image_trial: image = 'imgs/3.jpg'
25.5911 	EXP 	image_trial: autoDraw = True
26.1046 	EXP 	New trial (rep=24, index=0): None
26.1607 	DATA 	Keypress: right
26.1770 	EXP 	image_trial: autoDraw = False
26.1770 	EXP 	image_trial: image = 'imgs/1.jpg'
26.1770 	EXP 	image_trial: autoDraw = True
26.4227 	EXP 	New trial (rep=25, index=0): None
26.8467 	DATA 	Keypress: right
26.8503 	DATA 	Keypress: right
26.8759 	EXP 	image_trial: autoDraw = False
26.8759 	EXP 	image_trial: image = 'imgs/2.jpg'
26.8759 	EXP 	image_trial: autoDraw = True
27.3726 	EXP 	New trial (rep=26, index=0): None
27.4276 	DATA 	Keypress: right
27.4424 	EXP 	image_trial: autoDraw = False
