trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,image_trial.started,image_trial.stopped,keyboard_trial.keys,keyboard_trial.rt,keyboard_trial.started,keyboard_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
47,0,47,0,50.335212372010574,None,right,3.2445906379725784,50.335212372010574,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
48,0,48,0,53.87189153203508,None,right,0.5898839610163122,53.87189153203508,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
49,0,49,0,55.10436471202411,None,right,0.24539766000816599,55.10436471202411,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
50,0,50,0,55.637825583980884,None,right,0.3617914440110326,55.637825583980884,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
51,0,51,0,56.294281948998105,None,left,0.3575359539827332,56.294281948998105,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
52,0,52,0,56.93876857403666,None,left,0.40690797998104244,56.93876857403666,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
53,0,53,0,57.99169562099269,None,right,3.0984930600388907,57.99169562099269,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
54,0,54,0,61.37425381899811,None,left,0.33251863199984655,61.37425381899811,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
55,0,55,0,62.34796417102916,None,right,17.90737957600504,62.34796417102916,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
56,0,56,0,80.56657158699818,None,right,10.049793185957242,80.56657158699818,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
57,0,57,0,90.91185058001429,None,right,16.00794874195708,90.91185058001429,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
58,0,58,0,107.61921200301731,None,right,29.11006867903052,107.61921200301731,None,,001,2020_Feb_05_1905,image_slide,3.2.4,60.24055849033276,
